#{"t_start": 1780913933.79048, "env_id": "highway-fast-v0"}
r,l,t
13.344301,16,0.847637
1.632132,3,0.898839
14.032109,20,1.204218
7.379469,10,1.355101
1.019667,2,1.388959
20.966708,30,1.831098
6.048493,8,1.955678
3.918083,6,2.047154
10.110666,13,2.241775
12.378713,16,2.485698
4.945367,6,2.575771
12.150761,16,2.817973
7.680282,11,2.985875
5.612184,7,3.090657
1.913001,3,3.141847
21.916846,30,3.580012
3.879825,5,3.655232
20.82013,30,4.104907
10.979279,15,4.330609
10.650217,13,4.532701
1.749108,3,4.579535
1.246796,2,4.615451
6.052888,9,4.757216
12.367017,18,5.032053
15.319054,22,5.36325
7.401461,11,5.532043
15.110755,20,5.823598
4.662917,6,5.91856
15.911405,18,6.191881
3.945075,5,6.270007
6.677555,9,6.405629
3.479507,5,6.483407
16.380064,22,6.811719
3.496761,5,6.891266
6.996128,9,7.02687
3.216356,5,7.10566
13.830856,18,7.380026
2.566667,4,7.44406
2.830717,4,7.506512
17.631213,25,7.875874
3.366707,5,7.967931
1.766044,3,8.017312
9.715115,14,8.232816
2.498712,4,8.292431
3.799425,6,8.383353
1.781819,3,8.433967
14.549139,19,8.726555
6.681172,8,8.851961
2.046796,3,8.900477
12.28404,15,9.130616
23.862705,29,9.57245
1.180129,2,9.617506
20.748741,27,10.01724
4.919247,7,10.126992
9.077134,12,10.305786
11.014315,15,10.53102
4.079714,6,10.624218
8.797695,11,10.791711
7.445973,9,10.93019
4.886321,7,11.040156
5.919274,9,11.173871
17.081887,21,11.496897
4.886431,7,11.60585
11.278361,13,11.806758
5.645984,7,11.918462
6.698756,9,12.051963
7.232088,9,12.183746
16.582173,23,12.51748
2.515775,4,12.582577
15.017893,21,12.882959
3.551051,5,12.962564
5.49711,8,13.081095
6.61606,10,13.223725
3.615735,5,13.30052
5.246162,7,13.4133
15.800008,21,13.725222
4.21898,7,13.829307
2.582357,4,13.887938
14.952007,21,14.217588
5.545353,7,14.391412
3.046492,4,14.45758
9.345408,12,14.638132
5.031782,7,14.748769
6.67836,8,14.873038
6.745824,8,14.992473
4.019766,5,15.071883
1.279667,2,15.106656
2.54782,4,15.171196
2.749108,4,15.236119
7.411697,9,15.380218
15.930783,21,15.705765
5.698858,8,15.833505
13.464936,18,16.10397
3.96605,6,16.195088
9.153013,12,16.700973
23.613714,30,17.143465
18.431706,24,17.519314
14.412839,20,17.813912
1.781819,3,17.864247
2.013001,3,17.911485
12.746179,18,18.180444
4.035022,6,18.271182
5.74679,7,18.379627
12.5837,16,18.63552
10.012171,12,18.818594
2.76405,4,18.938433
15.84815,22,19.365657
12.867683,16,19.617207
22.047904,30,20.061734
3.879825,5,20.14001
17.399168,24,20.488265
1.468979,3,20.536078
23.450478,30,20.991465
5.531252,8,21.112807
3.645407,5,21.190184
7.033067,9,21.322848
11.400233,16,21.564231
14.797653,17,21.818867
2.912841,4,21.880398
12.216856,15,22.111161
3.479507,5,22.189028
5.200528,8,22.308812
13.466713,20,22.612703
8.119281,11,22.778934
1.666045,3,22.829884
3.515153,5,22.907256
12.480351,17,23.170596
2.498134,4,23.236879
13.148831,19,23.52023
9.633015,13,23.718536
10.818509,15,23.944879
17.229695,24,24.302631
1.950944,3,24.349082
9.978937,14,24.564152
1.633333,3,24.615713
5.678566,7,24.723999
5.348847,8,24.847411
3.713118,5,24.926196
11.218974,17,25.190207
11.878623,16,25.437221
2.319871,4,25.498752
6.544989,9,25.635103
10.565552,14,25.846425
9.414489,13,26.045586
24.18411,30,26.497335
2.679667,4,26.565009
6.402033,9,26.69514
8.930515,12,26.866847
5.98597,7,26.972337
3.012688,4,27.033087
